GaiaDR3Id,Gaia-RA,Gaia-DEC,Gaia-G,Gaia-BP,Gaia-RP,plx,plx-err,pmra,pmra-err,pmdec,pmdec-err,ellr,Flamesfield,SpecName,N-Spec,combSN,aveVel,vel-err,vel-var,aveFeH,feh-err,feh-var,z,mem,feh-rel
5003449261308998016,13.6648395642,-33.5229968216,18.122,18.6056,17.478,0.0258,0.1224,0.094,0.12,-0.224,0.167,1.1596,2007.gb202a,scl011_09_,2,52.97,119.59,0.418,0.455,-2.46,0.065,0.074,0.162,m,0
5003436483781148928,13.7546852173,-33.5733720453,19.875,20.3454,19.2269,-0.0662,0.3705,0.728,0.459,-0.795,0.597,1.0788,2007.gb202a,scl034_11_,2,17.02,105.59,1.49,3.209,-2.15,0.235,0.288,5.459,m,0
5003383977805922560,13.8745180848,-33.7683070902,18.2596,18.7467,17.5758,0.153,0.147,0.008,0.126,-0.279,0.186,0.9977,2003.Scl11a,scl_11_040,3,25.33,119.23,0.964,3.043,-2.74,0.172,0.169,1.389,m,0
5003364427115339648,13.9301295306,-34.0256960802,17.5764,18.1538,16.8409,0.0059,0.1214,-0.07,0.103,-0.054,0.139,1.0935,2007.gb211,scl020-12_,1,42.09,123.31,0.45,0.0,-1.79,0.067,0.0,3.722,m,0
5003440190338048384,13.9584541696,-33.5435303632,17.8531,18.4196,17.1537,0.0274,0.1237,0.077,0.096,-0.07,0.141,0.9151,2003.Scl11a,scl_11_036,3,38.46,116.61,0.541,1.687,-2.16,0.078,0.104,0.829,m,0
5003389307861352704,13.9735582103,-33.7565933414,18.4769,18.9546,17.8736,-0.1999,0.1611,0.083,0.144,-0.017,0.206,0.9108,2003.Scl11a,scl_11_041,3,25.83,124.98,0.9,2.882,-2.47,0.14,0.231,1.911,m,0
5003439915460125440,13.9823631017,-33.5648321808,17.9412,18.5272,17.2572,-0.0333,0.1143,0.021,0.099,-0.22,0.147,0.8916,2003.Scl11a,scl_11_037,3,26.32,109.09,0.593,2.278,-1.62,0.103,0.221,0.955,m,0
5003378793781414784,14.0164712008,-33.8976042472,17.0525,17.7001,16.2892,0.1515,0.0789,0.135,0.063,-0.156,0.091,0.9376,2007.gb211,scl014_05_,4,68.31,110.75,0.267,2.154,-2.15,0.041,0.062,3.917,m,0
5003386932743455616,14.0740503122,-33.7149402703,18.8384,19.3838,18.1853,-0.0303,0.1955,0.147,0.166,-0.605,0.258,0.8159,2003.Scl11a,scl_11_045,3,18.51,124.9,1.114,1.03,-1.8,0.165,0.352,4.687,m,0
5003385627073361152,14.1307100669,-33.7700083022,18.3369,18.8804,17.6788,0.159,0.1476,0.29,0.14,-0.176,0.201,0.7827,2003.Scl11a,scl_11_043,3,25.54,117.29,0.72,1.532,-1.65,0.11,0.135,3.222,m,0
5003388964263990272,14.1312061689,-33.6491638412,17.0696,17.6991,16.3107,-0.0893,0.0721,0.07,0.065,-0.356,0.101,0.7608,2006.gb103a,scl069_11_,5,99.18,119.31,0.199,1.153,-2.5,0.031,0.03,7.215,m,0
5003416074096648576,14.1573418352,-33.5334353203,19.0097,19.4941,18.3613,-0.2361,0.2823,-0.03,0.252,-0.52,0.343,0.7573,2006.gb103a,scl038_11_,3,19.94,114.9,1.045,3.146,-1.93,0.156,0.308,2.946,m,0
5003372471588604160,14.1774857245,-33.882757498,19.1628,19.7249,18.5433,-0.343,0.2768,-0.398,0.243,-0.353,0.238,0.7989,2018.asa.outer,dr2-0728,1,23.44,103.14,0.86,0.0,-2.29,0.159,0.0,5.942,m,0
5003375014210216832,14.1825730441,-33.8015399359,18.4117,18.9554,17.7707,-0.1166,0.1497,-0.014,0.135,-0.064,0.152,0.7516,2018.asa.outer,dr2-0736,4,37.59,116.98,0.399,2.423,-1.96,0.068,0.205,1.694,m,0
5003374945490740352,14.1956129474,-33.8057962103,16.6805,17.4058,15.8621,0.0532,0.0624,0.12,0.052,-0.222,0.054,0.7426,2018.asa.outer,dr2-0735,4,115.53,122.79,0.116,2.449,-2.07,0.021,0.014,1.643,m,0
5003412535044510080,14.2017470653,-33.601548563,19.0668,19.5689,18.4251,0.3075,0.25,0.372,0.225,-0.18,0.317,0.7052,2006.gb103a,scl056_11_,3,23.15,111.11,0.831,1.699,-1.5,0.124,0.304,2.755,m,0
5003372643388271104,14.2078758305,-33.8521694292,19.7135,20.2916,19.0598,0.934,0.3862,-0.042,0.35,-0.477,0.357,0.7561,2018.asa.outer,dr2-0729,1,18.94,119.58,1.45,0.0,-2.53,0.255,0.0,6.429,m,0
5003411263733294464,14.246742318,-33.6639961395,18.6807,19.1405,18.0417,0.1041,0.1786,-0.003,0.144,-0.163,0.181,0.664,2006.gb103a,scl075_11_,4,27.23,120.05,0.77,2.978,-1.87,0.112,0.3,0.901,m,0
5003375529605398400,14.2467485104,-33.7538382803,19.493,20.0157,18.9248,0.2591,0.3014,-0.05,0.284,0.081,0.287,0.6799,2018.asa.outer,dr2-0738,3,22.88,129.95,0.983,2.799,-2.27,0.157,0.14,2.257,m,0
5003412049712268416,14.2609428613,-33.6114256707,17.9214,18.4968,17.2253,0.0905,0.1173,0.146,0.094,-0.059,0.112,0.6549,2006.gb103a,scl060_11_,2,45.27,116.64,0.415,1.555,-2.05,0.066,0.086,1.629,m,0
5003399405328484736,14.2662502655,-33.6981208742,19.0615,19.3967,18.5577,-0.0364,0.2274,-0.345,0.228,-0.41,0.228,0.6506,2006.gb103a,scl082_11_,2,17.16,114.99,1.314,3.206,-2.08,0.197,0.324,4.312,m,0
